,date,epsActual,epsEstimated,eps_surprise,ticker
79,2006-08-01,0.64,0.62,0.020000000000000018,VZ
78,2006-10-30,0.68,0.66,0.020000000000000018,VZ
77,2007-01-29,0.62,0.61,0.010000000000000009,VZ
76,2007-04-30,0.54,0.53,0.010000000000000009,VZ
75,2007-07-30,0.58,0.58,0.0,VZ
74,2007-10-29,0.63,0.62,0.010000000000000009,VZ
73,2008-01-28,0.62,0.62,0.0,VZ
72,2008-04-28,0.61,0.61,0.0,VZ
71,2008-07-28,0.67,0.65,0.020000000000000018,VZ
70,2008-10-27,0.66,0.66,0.0,VZ
69,2009-01-27,0.61,0.62,-0.010000000000000009,VZ
68,2009-04-27,0.63,0.59,0.040000000000000036,VZ
67,2009-07-27,0.63,0.62,0.010000000000000009,VZ
66,2009-10-26,0.6,0.59,0.010000000000000009,VZ
65,2010-01-26,0.54,0.54,0.0,VZ
64,2010-04-22,0.56,0.56,0.0,VZ
63,2010-07-23,0.58,0.56,0.019999999999999907,VZ
62,2010-10-22,0.56,0.54,0.020000000000000018,VZ
61,2011-01-25,0.54,0.55,-0.010000000000000009,VZ
60,2011-04-21,0.51,0.5,0.010000000000000009,VZ
59,2011-07-22,0.57,0.55,0.019999999999999907,VZ
58,2011-10-21,0.56,0.55,0.010000000000000009,VZ
57,2012-01-24,0.52,0.53,-0.010000000000000009,VZ
56,2012-04-19,0.59,0.58,0.010000000000000009,VZ
55,2012-07-19,0.64,0.64,0.0,VZ
54,2012-10-18,0.64,0.64,0.0,VZ
53,2013-01-22,0.38,0.53,-0.15000000000000002,VZ
52,2013-04-18,0.68,0.66,0.020000000000000018,VZ
51,2013-07-18,0.73,0.72,0.010000000000000009,VZ
50,2013-10-17,0.77,0.74,0.030000000000000027,VZ
49,2014-01-21,0.66,0.64,0.020000000000000018,VZ
48,2014-04-24,0.91,0.87,0.040000000000000036,VZ
47,2014-07-22,0.91,0.9,0.010000000000000009,VZ
46,2014-10-21,0.89,0.9,-0.010000000000000009,VZ
45,2015-01-22,0.71,0.71,0.0,VZ
44,2015-04-21,1.02,0.95,0.07000000000000006,VZ
